Key;Date;Volume;Disc;max_T;min_T;avg_T;precipitation;Consumer_Price_Index_month;Exchange_Rate_Index_Period_Average_month;Exchange_Rate_LCU_per_US_Period_Average_month;Industrial_Production_Index_month;Wholesale_Producer_Price_Index_LCU_basus_month;Nominal_Consumption_Total_lcu_quarter;Nominal_Consumption_Total_US_quarter;Nominal_GDP_lcu_quarter;Nominal_GDP_US_quarter;Nominal_Private_Consumption_lcu_quarter;Nominal_Private_Consumption_US_quarter;Real_Consumption_Total_lcu_quarter;Real_Consumption_Total_US_quarter;Real_GDP_lcu_quarter;Real_GDP_US_quarter;Real_Private_Consumption_lcu_quarter;Real_Private_Consumption_US_quarter;Unemployment_Rate_quarter;Disposable_Personal_Income_lcu_annual;Disposable_personal_income_real_lcu_annual;Disposable_Personal_Income_US_annual;Employment_Total_annual;Index_Unit_Labor_Costs_LCU_basis_annual;Index_Unit_Labor_Costs_US_basis_annual;Index_wages_straight_time_LCU_basis_annual;Index_wages_straight_time_US_basis_annual;Nominal_GDP_per_employee_annual;Nominal_Consumption_Per_Capita_US_annual;Nominal_GDP_Per_Capita_lcu_annual;Nominal_Indirect_Taxes_Minus_Subsidies_lcu_annual;Nominal_Indirect_Taxes_Minus_Subsidies_US_annual;Number_of_households_annual;Participation_Rate_annual;Population_Age_Bracket_15_64_annual;Population_Total_annual;Population_Urban_annual;Price_of_Crude_Oil_LCU_basis_annual;Real_GDP_Per_Capita_lcu_annual;Real_Indirect_Taxes_Minus_Subsidies_lcu_annual;Real_Price_of_Crude_Oil_LCU_basis_annual;Real_Price_of_Crude_Oil_US_basis_annual;Share_of_Population_Urban_annual;Tax_Rate_Overall_Taxes_annual;Tax_Rate_Personal_Income_Taxes_annual;Terms_of_Trade_annual;Unemployment_annual;Wages_and_Salaries_Gross_lcu_annual;Wages_and_Salaries_Gross_US_annual;Working_Age_Population_annual;Index_Retail_Sales_Real_month;Real_GDP_at_Factor_Cost_Services_lcu_annual;PMI;Inflation_Rate;Selling_days_ratio;Selling_days;Selling_days_Quarter;Selling_days_Half;Selling_days_9;Selling_days_17;Holidays;Holidays_9;Holidays_17;Sales_Package;Marketing_Package;Month;Month1;Month2;Month3;Month4;Month5;Month6;Month7;Month8;Month9;Month10;Month11;Month12;Growth_rate
D;01/02/2014;205538,32;27478679,22;46,32842222;31,84781207;39,08686501;1,741893182;85,4585;108,6444;6,8277;58,7934;103,0408;31627,877;5183,0343;62380,2587;10222,5964;23321,1509;3821,7654;27117,63;5178,1513;54870,5712;9972,8685;19994,9538;3818,0658;3,0107;28843,8538;24499,9847;4681,312;772,53;100,8679;102,8811;90,7022;92,5125;13520,4168;2812,7981;45986,7288;0;0;431,9978;0,7087;1020,1913;1399,454;759,3297;615,1156;40268,3379;0;538,6267;97,8968;54,259;17,4916;0,1194;92,8034;24,37;57361;9309,5998;1020,1913;55,4772;25253,0512;50,2;2;0,678571429;19;69;142;19;19;9;9;9;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0
E;01/02/2014;699,1;315642,01;46,32842222;31,84781207;39,08686501;1,741893182;85,4585;108,6444;6,8277;58,7934;103,0408;31627,877;5183,0343;62380,2587;10222,5964;23321,1509;3821,7654;27117,63;5178,1513;54870,5712;9972,8685;19994,9538;3818,0658;3,0107;28843,8538;24499,9847;4681,312;772,53;100,8679;102,8811;90,7022;92,5125;13520,4168;2812,7981;45986,7288;0;0;431,9978;0,7087;1020,1913;1399,454;759,3297;615,1156;40268,3379;0;538,6267;97,8968;54,259;17,4916;0,1194;92,8034;24,37;57361;9309,5998;1020,1913;55,4772;25253,0512;50,2;2;0,678571429;19;69;142;19;19;9;9;9;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0
F;01/02/2014;885082,1;61848128,79;46,32842222;31,84781207;39,08686501;1,741893182;85,4585;108,6444;6,8277;58,7934;103,0408;31627,877;5183,0343;62380,2587;10222,5964;23321,1509;3821,7654;27117,63;5178,1513;54870,5712;9972,8685;19994,9538;3818,0658;3,0107;28843,8538;24499,9847;4681,312;772,53;100,8679;102,8811;90,7022;92,5125;13520,4168;2812,7981;45986,7288;0;0;431,9978;0,7087;1020,1913;1399,454;759,3297;615,1156;40268,3379;0;538,6267;97,8968;54,259;17,4916;0,1194;92,8034;24,37;57361;9309,5998;1020,1913;55,4772;25253,0512;50,2;2;0,678571429;19;69;142;19;19;9;9;9;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0
G;01/02/2014;507910,17;44119225,8;46,32842222;31,84781207;39,08686501;1,741893182;85,4585;108,6444;6,8277;58,7934;103,0408;31627,877;5183,0343;62380,2587;10222,5964;23321,1509;3821,7654;27117,63;5178,1513;54870,5712;9972,8685;19994,9538;3818,0658;3,0107;28843,8538;24499,9847;4681,312;772,53;100,8679;102,8811;90,7022;92,5125;13520,4168;2812,7981;45986,7288;0;0;431,9978;0,7087;1020,1913;1399,454;759,3297;615,1156;40268,3379;0;538,6267;97,8968;54,259;17,4916;0,1194;92,8034;24,37;57361;9309,5998;1020,1913;55,4772;25253,0512;50,2;2;0,678571429;19;69;142;19;19;9;9;9;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0
A;01/03/2014;1089614,89;346856859,1;61,69825019;43,13307463;52,41424135;2,534747826;85,4585;108,6444;6,8277;58,7934;103,0408;31627,877;5183,0343;62380,2587;10222,5964;23321,1509;3821,7654;27117,63;5178,1513;54870,5712;9972,8685;19994,9538;3818,0658;3,0107;28843,8538;24499,9847;4681,312;772,53;100,8679;102,8811;90,7022;92,5125;13520,4168;2812,7981;45986,7288;0;0;431,9978;0,7087;1020,1913;1399,454;759,3297;615,1156;40268,3379;0;538,6267;97,8968;54,259;17,4916;0,1194;92,8034;24,37;57361;9309,5998;1020,1913;55,4772;25253,0512;50,3;2,4;0,838709677;26;69;142;26;26;5;5;5;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0
B;01/03/2014;550634,44;93083615,07;61,69825019;43,13307463;52,41424135;2,534747826;85,4585;108,6444;6,8277;58,7934;103,0408;31627,877;5183,0343;62380,2587;10222,5964;23321,1509;3821,7654;27117,63;5178,1513;54870,5712;9972,8685;19994,9538;3818,0658;3,0107;28843,8538;24499,9847;4681,312;772,53;100,8679;102,8811;90,7022;92,5125;13520,4168;2812,7981;45986,7288;0;0;431,9978;0,7087;1020,1913;1399,454;759,3297;615,1156;40268,3379;0;538,6267;97,8968;54,259;17,4916;0,1194;92,8034;24,37;57361;9309,5998;1020,1913;55,4772;25253,0512;50,3;2,4;0,838709677;26;69;142;26;26;5;5;5;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0
C;01/03/2014;1100553,11;82058892,9;61,69825019;43,13307463;52,41424135;2,534747826;85,4585;108,6444;6,8277;58,7934;103,0408;31627,877;5183,0343;62380,2587;10222,5964;23321,1509;3821,7654;27117,63;5178,1513;54870,5712;9972,8685;19994,9538;3818,0658;3,0107;28843,8538;24499,9847;4681,312;772,53;100,8679;102,8811;90,7022;92,5125;13520,4168;2812,7981;45986,7288;0;0;431,9978;0,7087;1020,1913;1399,454;759,3297;615,1156;40268,3379;0;538,6267;97,8968;54,259;17,4916;0,1194;92,8034;24,37;57361;9309,5998;1020,1913;55,4772;25253,0512;50,3;2,4;0,838709677;26;69;142;26;26;5;5;5;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0
D;01/03/2014;262253,79;35139459,44;61,69825019;43,13307463;52,41424135;2,534747826;85,4585;108,6444;6,8277;58,7934;103,0408;31627,877;5183,0343;62380,2587;10222,5964;23321,1509;3821,7654;27117,63;5178,1513;54870,5712;9972,8685;19994,9538;3818,0658;3,0107;28843,8538;24499,9847;4681,312;772,53;100,8679;102,8811;90,7022;92,5125;13520,4168;2812,7981;45986,7288;0;0;431,9978;0,7087;1020,1913;1399,454;759,3297;615,1156;40268,3379;0;538,6267;97,8968;54,259;17,4916;0,1194;92,8034;24,37;57361;9309,5998;1020,1913;55,4772;25253,0512;50,3;2,4;0,838709677;26;69;142;26;26;5;5;5;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0
E;01/03/2014;1421,69;560008,54;61,69825019;43,13307463;52,41424135;2,534747826;85,4585;108,6444;6,8277;58,7934;103,0408;31627,877;5183,0343;62380,2587;10222,5964;23321,1509;3821,7654;27117,63;5178,1513;54870,5712;9972,8685;19994,9538;3818,0658;3,0107;28843,8538;24499,9847;4681,312;772,53;100,8679;102,8811;90,7022;92,5125;13520,4168;2812,7981;45986,7288;0;0;431,9978;0,7087;1020,1913;1399,454;759,3297;615,1156;40268,3379;0;538,6267;97,8968;54,259;17,4916;0,1194;92,8034;24,37;57361;9309,5998;1020,1913;55,4772;25253,0512;50,3;2,4;0,838709677;26;69;142;26;26;5;5;5;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0
F;01/03/2014;1191730,78;74768976,02;61,69825019;43,13307463;52,41424135;2,534747826;85,4585;108,6444;6,8277;58,7934;103,0408;31627,877;5183,0343;62380,2587;10222,5964;23321,1509;3821,7654;27117,63;5178,1513;54870,5712;9972,8685;19994,9538;3818,0658;3,0107;28843,8538;24499,9847;4681,312;772,53;100,8679;102,8811;90,7022;92,5125;13520,4168;2812,7981;45986,7288;0;0;431,9978;0,7087;1020,1913;1399,454;759,3297;615,1156;40268,3379;0;538,6267;97,8968;54,259;17,4916;0,1194;92,8034;24,37;57361;9309,5998;1020,1913;55,4772;25253,0512;50,3;2,4;0,838709677;26;69;142;26;26;5;5;5;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0
G;01/03/2014;612966,58;19794085,09;61,69825019;43,13307463;52,41424135;2,534747826;85,4585;108,6444;6,8277;58,7934;103,0408;31627,877;5183,0343;62380,2587;10222,5964;23321,1509;3821,7654;27117,63;5178,1513;54870,5712;9972,8685;19994,9538;3818,0658;3,0107;28843,8538;24499,9847;4681,312;772,53;100,8679;102,8811;90,7022;92,5125;13520,4168;2812,7981;45986,7288;0;0;431,9978;0,7087;1020,1913;1399,454;759,3297;615,1156;40268,3379;0;538,6267;97,8968;54,259;17,4916;0,1194;92,8034;24,37;57361;9309,5998;1020,1913;55,4772;25253,0512;50,3;2,4;0,838709677;26;69;142;26;26;5;5;5;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0
A;01/04/2014;1073261,19;337928356,2;71,27782094;53,70070452;62,48763344;3,550491487;85,4585;108,6444;6,8277;58,7934;103,0408;32345,4058;5190,7333;63639,6664;10212,7807;23912,7307;3837,4726;27611,9003;5272,5329;55860,4424;10152,7802;20412,7571;3897,846;3,0414;28843,8538;24499,9847;4681,312;772,53;100,8679;102,8811;90,7022;92,5125;13520,4168;2812,7981;45986,7288;0;0;431,9978;0,7087;1020,1913;1399,454;759,3297;615,1156;40268,3379;0;538,6267;97,8968;54,259;17,4916;0,1194;92,8034;24,37;57361;9309,5998;1020,1913;55,4772;25253,0512;50,4;1,8;0,8;24;73;142;24;24;6;6;6;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0
H;01/04/2014;278106,1556;38556011,85;71,27782094;53,70070452;62,48763344;3,550491487;85,4585;108,6444;6,8277;58,7934;103,0408;32345,4058;5190,7333;63639,6664;10212,7807;23912,7307;3837,4726;27611,9003;5272,5329;55860,4424;10152,7802;20412,7571;3897,846;3,0414;28843,8538;24499,9847;4681,312;772,53;100,8679;102,8811;90,7022;92,5125;13520,4168;2812,7981;45986,7288;0;0;431,9978;0,7087;1020,1913;1399,454;759,3297;615,1156;40268,3379;0;538,6267;97,8968;54,259;17,4916;0,1194;92,8034;24,37;57361;9309,5998;1020,1913;55,4772;25253,0512;50,4;1,8;0,8;24;73;142;24;24;6;6;6;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0
B;01/04/2014;665210,87;92302875,03;71,27782094;53,70070452;62,48763344;3,550491487;85,4585;108,6444;6,8277;58,7934;103,0408;32345,4058;5190,7333;63639,6664;10212,7807;23912,7307;3837,4726;27611,9003;5272,5329;55860,4424;10152,7802;20412,7571;3897,846;3,0414;28843,8538;24499,9847;4681,312;772,53;100,8679;102,8811;90,7022;92,5125;13520,4168;2812,7981;45986,7288;0;0;431,9978;0,7087;1020,1913;1399,454;759,3297;615,1156;40268,3379;0;538,6267;97,8968;54,259;17,4916;0,1194;92,8034;24,37;57361;9309,5998;1020,1913;55,4772;25253,0512;50,4;1,8;0,8;24;73;142;24;24;6;6;6;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0
C;01/04/2014;1316461,38;106446624;71,27782094;53,70070452;62,48763344;3,550491487;85,4585;108,6444;6,8277;58,7934;103,0408;32345,4058;5190,7333;63639,6664;10212,7807;23912,7307;3837,4726;27611,9003;5272,5329;55860,4424;10152,7802;20412,7571;3897,846;3,0414;28843,8538;24499,9847;4681,312;772,53;100,8679;102,8811;90,7022;92,5125;13520,4168;2812,7981;45986,7288;0;0;431,9978;0,7087;1020,1913;1399,454;759,3297;615,1156;40268,3379;0;538,6267;97,8968;54,259;17,4916;0,1194;92,8034;24,37;57361;9309,5998;1020,1913;55,4772;25253,0512;50,4;1,8;0,8;24;73;142;24;24;6;6;6;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0
D;01/04/2014;351818,36;49251297,36;71,27782094;53,70070452;62,48763344;3,550491487;85,4585;108,6444;6,8277;58,7934;103,0408;32345,4058;5190,7333;63639,6664;10212,7807;23912,7307;3837,4726;27611,9003;5272,5329;55860,4424;10152,7802;20412,7571;3897,846;3,0414;28843,8538;24499,9847;4681,312;772,53;100,8679;102,8811;90,7022;92,5125;13520,4168;2812,7981;45986,7288;0;0;431,9978;0,7087;1020,1913;1399,454;759,3297;615,1156;40268,3379;0;538,6267;97,8968;54,259;17,4916;0,1194;92,8034;24,37;57361;9309,5998;1020,1913;55,4772;25253,0512;50,4;1,8;0,8;24;73;142;24;24;6;6;6;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0
E;01/04/2014;1758,77;857557,24;71,27782094;53,70070452;62,48763344;3,550491487;85,4585;108,6444;6,8277;58,7934;103,0408;32345,4058;5190,7333;63639,6664;10212,7807;23912,7307;3837,4726;27611,9003;5272,5329;55860,4424;10152,7802;20412,7571;3897,846;3,0414;28843,8538;24499,9847;4681,312;772,53;100,8679;102,8811;90,7022;92,5125;13520,4168;2812,7981;45986,7288;0;0;431,9978;0,7087;1020,1913;1399,454;759,3297;615,1156;40268,3379;0;538,6267;97,8968;54,259;17,4916;0,1194;92,8034;24,37;57361;9309,5998;1020,1913;55,4772;25253,0512;50,4;1,8;0,8;24;73;142;24;24;6;6;6;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0
F;01/04/2014;1357049,52;82590020,07;71,27782094;53,70070452;62,48763344;3,550491487;85,4585;108,6444;6,8277;58,7934;103,0408;32345,4058;5190,7333;63639,6664;10212,7807;23912,7307;3837,4726;27611,9003;5272,5329;55860,4424;10152,7802;20412,7571;3897,846;3,0414;28843,8538;24499,9847;4681,312;772,53;100,8679;102,8811;90,7022;92,5125;13520,4168;2812,7981;45986,7288;0;0;431,9978;0,7087;1020,1913;1399,454;759,3297;615,1156;40268,3379;0;538,6267;97,8968;54,259;17,4916;0,1194;92,8034;24,37;57361;9309,5998;1020,1913;55,4772;25253,0512;50,4;1,8;0,8;24;73;142;24;24;6;6;6;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0
G;01/04/2014;879226,26;20360141,13;71,27782094;53,70070452;62,48763344;3,550491487;85,4585;108,6444;6,8277;58,7934;103,0408;32345,4058;5190,7333;63639,6664;10212,7807;23912,7307;3837,4726;27611,9003;5272,5329;55860,4424;10152,7802;20412,7571;3897,846;3,0414;28843,8538;24499,9847;4681,312;772,53;100,8679;102,8811;90,7022;92,5125;13520,4168;2812,7981;45986,7288;0;0;431,9978;0,7087;1020,1913;1399,454;759,3297;615,1156;40268,3379;0;538,6267;97,8968;54,259;17,4916;0,1194;92,8034;24,37;57361;9309,5998;1020,1913;55,4772;25253,0512;50,4;1,8;0,8;24;73;142;24;24;6;6;6;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0
A;01/05/2014;1289022,39;352877356,9;79,3371828;61,04817581;70,19121362;5,262217855;85,4585;108,6444;6,8277;58,7934;103,0408;32345,4058;5190,7333;63639,6664;10212,7807;23912,7307;3837,4726;27611,9003;5272,5329;55860,4424;10152,7802;20412,7571;3897,846;3,0414;28843,8538;24499,9847;4681,312;772,53;100,8679;102,8811;90,7022;92,5125;13520,4168;2812,7981;45986,7288;0;0;431,9978;0,7087;1020,1913;1399,454;759,3297;615,1156;40268,3379;0;538,6267;97,8968;54,259;17,4916;0,1194;92,8034;24,37;57361;9309,5998;1020,1913;55,4772;25253,0512;50,8;2,5;0,806451613;25;73;142;25;25;6;6;6;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0
H;01/05/2014;389241,7797;61675361,79;79,3371828;61,04817581;70,19121362;5,262217855;85,4585;108,6444;6,8277;58,7934;103,0408;32345,4058;5190,7333;63639,6664;10212,7807;23912,7307;3837,4726;27611,9003;5272,5329;55860,4424;10152,7802;20412,7571;3897,846;3,0414;28843,8538;24499,9847;4681,312;772,53;100,8679;102,8811;90,7022;92,5125;13520,4168;2812,7981;45986,7288;0;0;431,9978;0,7087;1020,1913;1399,454;759,3297;615,1156;40268,3379;0;538,6267;97,8968;54,259;17,4916;0,1194;92,8034;24,37;57361;9309,5998;1020,1913;55,4772;25253,0512;50,8;2,5;0,806451613;25;73;142;25;25;6;6;6;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0
